,emotion_str,country,tweet,date,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm
298,sadness,Turkey,6,June,Turkey,TUR,792,Turkey,13.65,Statista,1134.0,0.43956043956043955
299,sadness,Uganda,66,June,Uganda,UGA,800,,,,,
300,sadness,United Arab Emirates,45,June,United Arab Emirates,ARE,784,United Arab Emirates,5.21,,4032.0,8.637236084452976
301,sadness,United Kingdom,3771,June,United Kingdom,GBR,826,United Kingdom,17.75,Statista,139284.0,212.45070422535213
302,sadness,United States,9402,June,United States,USA,840,United States,64.2,Statista,454626.0,146.4485981308411
303,surprise,Australia,615,June,Australia,AUS,36,Australia,5.0,Statista,22578.0,123.0
304,surprise,Belgium,60,June,Belgium,BEL,56,Belgium,1.0,,2268.0,60.0
305,surprise,Brazil,57,June,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,3.97212543554007
306,surprise,Canada,1314,June,Canada,CAN,124,Canada,8.15,Statista,38382.0,161.22699386503066
307,surprise,China,45,June,China,CHN,156,China,2.0,NY Times,7482.0,22.5
308,surprise,France,63,June,France,FRA,250,France,8.9,Statista,3192.0,7.078651685393258
309,surprise,Germany,105,June,Germany,DEU,276,Germany,6.1,Statista,4140.0,17.213114754098363
310,surprise,Ghana,168,June,Ghana,GHA,288,Ghana,2.0,,6312.0,84.0
311,surprise,Hong Kong,24,June,Hong Kong,HKG,344,Hong Kong,1.5,,2994.0,16.0
312,surprise,India,3087,June,India,IND,356,India,13.15,Statista,90480.0,234.7528517110266
313,surprise,Indonesia,141,June,Indonesia,IDN,360,Indonesia,11.8,,3954.0,11.94915254237288
314,surprise,Ireland,417,June,Ireland,IRL,372,Ireland,2.5,,12138.0,166.8
315,surprise,Italy,69,June,Italy,ITA,380,Italy,2.5,,3822.0,27.6
316,surprise,Japan,72,June,Japan,JPN,392,Japan,48.45,Statista,4314.0,1.4860681114551082
317,surprise,Kenya,264,June,Kenya,KEN,404,Kenya,8.2,google,9228.0,32.19512195121951
318,surprise,Kingdom of Saudi Arabia,51,June,Kingdom of Saudi Arabia,SAU,682,Kingdom of Saudi Arabia,15.0,Statista,1404.0,3.4
319,surprise,Malaysia,123,June,Malaysia,MYS,458,Malaysia,3.9,Statista,6930.0,31.53846153846154
320,surprise,Mexico,54,June,Mexico,MEX,484,Mexico,25.7,,1746.0,2.1011673151750974
321,surprise,New Zealand,171,June,New Zealand,NZL,554,New Zealand,0.9,google,4464.0,190.0
322,surprise,Nigeria,708,June,Nigeria,NGA,566,Nigeria,8.4,,38400.0,84.28571428571428
323,surprise,Pakistan,354,June,Pakistan,PAK,586,Pakistan,2.6,google,8358.0,136.15384615384616
324,surprise,Republic of Korea,39,June,Republic of Korea,KOR,410,Republic of Korea,6.05,Statista,1848.0,6.446280991735537
325,surprise,Republic of the Philippines,282,June,Republic of the Philippines,PHL,608,Republic of the Philippines,7.15,Statista,11472.0,39.44055944055944
326,surprise,Singapore,63,June,Singapore,SGP,702,Singapore,1.3,,3246.0,48.46153846153846
327,surprise,South Africa,801,June,South Africa,ZAF,710,South Africa,8.5,Business Tech,27030.0,94.23529411764706
328,surprise,Spain,132,June,Spain,ESP,724,Spain,8.4,Statista,4080.0,15.714285714285714
329,surprise,Sri Lanka,27,June,Sri Lanka,LKA,144,Sri Lanka,0.5,,1698.0,54.0
330,surprise,Sweden,36,June,Sweden,SWE,752,Sweden,2.0,,1422.0,18.0
331,surprise,Switzerland,45,June,Switzerland,CHE,756,Switzerland,0.8,Digital report switzerland,1902.0,56.25
332,surprise,Thailand,69,June,Thailand,THA,764,Thailand,7.35,Statista,2736.0,9.387755102040817
333,surprise,The Netherlands,51,June,The Netherlands,NLD,528,The Netherlands,2.8,,2970.0,18.214285714285715
334,surprise,Turkey,57,June,Turkey,TUR,792,Turkey,13.65,Statista,1134.0,4.175824175824176
335,surprise,Uganda,150,June,Uganda,UGA,800,,,,,
336,surprise,United Arab Emirates,102,June,United Arab Emirates,ARE,784,United Arab Emirates,5.21,,4032.0,19.57773512476008
337,surprise,United Kingdom,5043,June,United Kingdom,GBR,826,United Kingdom,17.75,Statista,139284.0,284.11267605633805
338,surprise,United States,13512,June,United States,USA,840,United States,64.2,Statista,454626.0,210.46728971962617
339,worry,Australia,1500,June,Australia,AUS,36,Australia,5.0,Statista,22578.0,300.0
340,worry,Belgium,147,June,Belgium,BEL,56,Belgium,1.0,,2268.0,147.0
341,worry,Brazil,138,June,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,9.61672473867596
342,worry,Canada,3255,June,Canada,CAN,124,Canada,8.15,Statista,38382.0,399.3865030674846
343,worry,China,159,June,China,CHN,156,China,2.0,NY Times,7482.0,79.5
344,worry,France,171,June,France,FRA,250,France,8.9,Statista,3192.0,19.213483146067414
345,worry,Germany,207,June,Germany,DEU,276,Germany,6.1,Statista,4140.0,33.9344262295082
346,worry,Ghana,312,June,Ghana,GHA,288,Ghana,2.0,,6312.0,156.0
347,worry,Hong Kong,60,June,Hong Kong,HKG,344,Hong Kong,1.5,,2994.0,40.0
348,worry,India,10923,June,India,IND,356,India,13.15,Statista,90480.0,830.6463878326996
349,worry,Indonesia,177,June,Indonesia,IDN,360,Indonesia,11.8,,3954.0,14.999999999999998
350,worry,Ireland,948,June,Ireland,IRL,372,Ireland,2.5,,12138.0,379.2
351,worry,Italy,156,June,Italy,ITA,380,Italy,2.5,,3822.0,62.4
352,worry,Japan,153,June,Japan,JPN,392,Japan,48.45,Statista,4314.0,3.157894736842105
353,worry,Kenya,657,June,Kenya,KEN,404,Kenya,8.2,google,9228.0,80.1219512195122
354,worry,Kingdom of Saudi Arabia,99,June,Kingdom of Saudi Arabia,SAU,682,Kingdom of Saudi Arabia,15.0,Statista,1404.0,6.6
355,worry,Malaysia,255,June,Malaysia,MYS,458,Malaysia,3.9,Statista,6930.0,65.38461538461539
356,worry,Mexico,126,June,Mexico,MEX,484,Mexico,25.7,,1746.0,4.902723735408561
357,worry,New Zealand,276,June,New Zealand,NZL,554,New Zealand,0.9,google,4464.0,306.6666666666667
358,worry,Nigeria,1758,June,Nigeria,NGA,566,Nigeria,8.4,,38400.0,209.28571428571428
359,worry,Pakistan,1257,June,Pakistan,PAK,586,Pakistan,2.6,google,8358.0,483.46153846153845
360,worry,Republic of Korea,54,June,Republic of Korea,KOR,410,Republic of Korea,6.05,Statista,1848.0,8.925619834710744
361,worry,Republic of the Philippines,738,June,Republic of the Philippines,PHL,608,Republic of the Philippines,7.15,Statista,11472.0,103.21678321678321
362,worry,Singapore,189,June,Singapore,SGP,702,Singapore,1.3,,3246.0,145.3846153846154
363,worry,South Africa,1863,June,South Africa,ZAF,710,South Africa,8.5,Business Tech,27030.0,219.1764705882353
364,worry,Spain,204,June,Spain,ESP,724,Spain,8.4,Statista,4080.0,24.285714285714285
365,worry,Sri Lanka,57,June,Sri Lanka,LKA,144,Sri Lanka,0.5,,1698.0,114.0
366,worry,Sweden,93,June,Sweden,SWE,752,Sweden,2.0,,1422.0,46.5
367,worry,Switzerland,90,June,Switzerland,CHE,756,Switzerland,0.8,Digital report switzerland,1902.0,112.5
368,worry,Thailand,201,June,Thailand,THA,764,Thailand,7.35,Statista,2736.0,27.346938775510207
369,worry,The Netherlands,168,June,The Netherlands,NLD,528,The Netherlands,2.8,,2970.0,60.00000000000001
370,worry,Turkey,81,June,Turkey,TUR,792,Turkey,13.65,Statista,1134.0,5.934065934065934
371,worry,Uganda,390,June,Uganda,UGA,800,,,,,
372,worry,United Arab Emirates,195,June,United Arab Emirates,ARE,784,United Arab Emirates,5.21,,4032.0,37.42802303262956
373,worry,United Kingdom,13143,June,United Kingdom,GBR,826,United Kingdom,17.75,Statista,139284.0,740.4507042253521
374,worry,United States,32421,June,United States,USA,840,United States,64.2,Statista,454626.0,505.0
