,emotion_str,country,tweet,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm,date
62,boredom,United Kingdom,324,United Kingdom,GBR,826,United Kingdom,17.75,Statista,139284.0,18.253521126760564,March
63,boredom,United States,1722,United States,USA,840,United States,64.2,Statista,454626.0,26.822429906542055,March
64,depressed,Australia,264,Australia,AUS,36,Australia,5.0,Statista,22578.0,52.8,March
65,depressed,Belgium,24,Belgium,BEL,56,Belgium,1.0,,2268.0,24.0,March
66,depressed,Brazil,12,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,0.8362369337979094,March
67,depressed,Canada,612,Canada,CAN,124,Canada,8.15,Statista,38382.0,75.0920245398773,March
68,depressed,China,114,China,CHN,156,China,2.0,NY Times,7482.0,57.0,March
69,depressed,France,54,France,FRA,250,France,8.9,Statista,3192.0,6.067415730337078,March
70,depressed,Germany,72,Germany,DEU,276,Germany,6.1,Statista,4140.0,11.80327868852459,March
71,depressed,Ghana,114,Ghana,GHA,288,Ghana,2.0,,6312.0,57.0,March
72,depressed,Hong Kong,18,Hong Kong,HKG,344,Hong Kong,1.5,,2994.0,12.0,March
73,depressed,India,762,India,IND,356,India,13.15,Statista,90480.0,57.9467680608365,March
74,depressed,Indonesia,66,Indonesia,IDN,360,Indonesia,11.8,,3954.0,5.59322033898305,March
75,depressed,Ireland,210,Ireland,IRL,372,Ireland,2.5,,12138.0,84.0,March
76,depressed,Italy,66,Italy,ITA,380,Italy,2.5,,3822.0,26.4,March
77,depressed,Japan,90,Japan,JPN,392,Japan,48.45,Statista,4314.0,1.8575851393188854,March
78,depressed,Kenya,60,Kenya,KEN,404,Kenya,8.2,google,9228.0,7.317073170731708,March
79,depressed,Kingdom of Saudi Arabia,30,Kingdom of Saudi Arabia,SAU,682,Kingdom of Saudi Arabia,15.0,Statista,1404.0,2.0,March
80,depressed,Malaysia,84,Malaysia,MYS,458,Malaysia,3.9,Statista,6930.0,21.53846153846154,March
81,depressed,Mexico,24,Mexico,MEX,484,Mexico,25.7,,1746.0,0.933852140077821,March
82,depressed,New Zealand,36,New Zealand,NZL,554,New Zealand,0.9,google,4464.0,40.0,March
83,depressed,Nigeria,318,Nigeria,NGA,566,Nigeria,8.4,,38400.0,37.857142857142854,March
84,depressed,Pakistan,120,Pakistan,PAK,586,Pakistan,2.6,google,8358.0,46.15384615384615,March
85,depressed,Republic of Korea,18,Republic of Korea,KOR,410,Republic of Korea,6.05,Statista,1848.0,2.9752066115702482,March
86,depressed,Republic of the Philippines,144,Republic of the Philippines,PHL,608,Republic of the Philippines,7.15,Statista,11472.0,20.13986013986014,March
87,depressed,Singapore,12,Singapore,SGP,702,Singapore,1.3,,3246.0,9.23076923076923,March
88,depressed,South Africa,210,South Africa,ZAF,710,South Africa,8.5,Business Tech,27030.0,24.705882352941178,March
89,depressed,Spain,72,Spain,ESP,724,Spain,8.4,Statista,4080.0,8.571428571428571,March
90,depressed,Sri Lanka,18,Sri Lanka,LKA,144,Sri Lanka,0.5,,1698.0,36.0,March
91,depressed,Sweden,30,Sweden,SWE,752,Sweden,2.0,,1422.0,15.0,March
92,depressed,Switzerland,18,Switzerland,CHE,756,Switzerland,0.8,Digital report switzerland,1902.0,22.5,March
